timestamp,amount,currency,wallet_address,is_fraud
2025-07-09T13:27:33,1.3858,ETH,7491d414785c96b2ec5a855f50a885,0
2025-02-05T20:40:05,1.5622,ETH,65b5bb0062a03b17f3f9d11316985d,0
2025-03-03T20:59:18,0.602,BTC,19c16d68bb31ae134cae14b52dce9d,1
2025-03-10T16:36:32,1.339,SOL,fb5b4c0da1fe79ec1089fd6ba17fc1,0
2025-04-01T07:35:01,0.6392,SOL,f23cdf0635487a8cb5063682f5fbe3,0
2025-02-15T13:30:15,1.8501,SOL,1943d98e85946f8e60211d6fd48df7,1
2025-01-05T03:28:52,0.6615,SOL,489eb0dffacf134a8fc5d0ea36e998,0
2025-08-18T20:37:41,0.2823,BTC,518a0acc431063d8549ca3dbe00e42,0
2025-02-13T00:13:02,0.1013,BTC,37535e4721acc470761a1dadadb751,0
2025-06-25T17:22:24,1.4664,SOL,b4da9f49f52004d4b50f5f90a3866e,0
2025-10-17T10:54:15,1.404,SOL,774f7982384200f1db9e0753cf2508,0
2025-07-08T11:06:25,0.7053,SOL,24dedb08830036e0796bad9cf4151e,0
2025-03-18T05:27:11,0.5139,BTC,43d25c57f252fd4f4546cfe2ba32f4,0
2025-11-18T20:32:04,0.8145,ETH,2e2e75263e54ed119b4c934e87ac5f,0
2025-04-19T21:24:25,1.953,SOL,916c76c60350bc6c86371bce11dec3,0
2025-01-22T02:54:18,0.6315,SOL,2139c5ee39c221f81e6fc43a2fcc48,1
2025-09-21T06:12:32,1.5183,SOL,ddd716e1625f81f9c1726403d29178,0
2025-03-08T05:54:07,1.2868,BTC,6433e758318d854a9cfd9d04dced68,0
2025-01-18T10:51:37,0.1218,BTC,72970805180cdb620967f093fb1e2d,0
2025-08-15T19:15:00,0.6004,SOL,fa680532cbd962c3c6cbfa3ad3f5e3,0
2025-11-10T20:20:59,1.1864,BTC,81a42013454b4e017eb31ee2ff10f9,0
2025-06-30T17:08:08,0.6983,BTC,49e1060763cca4be147b083379b38e,0
2025-10-28T07:14:18,0.2303,BTC,1fab605082e2760e96aa39fa5d6223,0
2025-10-13T06:10:12,1.7018,SOL,b732bacb6bfb0b02d1d5e5754d9d81,0
2025-07-29T12:29:59,1.0918,ETH,3212c59210fa1dde5fff2c419e01d9,0
2025-03-10T11:51:05,1.223,SOL,049914053badd37d71182fe67a7913,0
2025-03-06T03:30:52,0.2281,SOL,b490c97b38de3a335831c22cef1f2d,0
2025-06-07T06:55:00,1.1729,ETH,e18eb1bfdfa136f49cc6dfa6e13762,0
2025-01-24T14:57:33,0.4211,SOL,7e2515d002990a35801a78f1f972c4,0
2025-06-11T03:32:06,1.7756,BTC,04f53943334e839e1501613fc4062f,1
2025-01-06T15:41:07,0.6506,BTC,d79c245dc53f90d66f0aeeb6377e79,0
2025-07-29T14:31:39,0.5998,BTC,8571bc58cdf8a7e230366825ed3f5a,0
2025-05-19T21:47:00,1.2864,ETH,ad0ee311014b2c2143d1e40f8f9921,0
2025-09-13T14:40:57,0.5733,SOL,d1ea55b4d55905687df972fc00eb50,0
2025-01-28T03:10:30,0.3236,ETH,7e68225ea1296ddb99f0e4f1357b35,0
2025-09-10T00:29:04,1.8173,BTC,152e2c3945bdf4b980961b7c435050,0
2025-01-19T08:32:44,0.0075,BTC,8aa1c75652056b372407b6343a35d8,0
2025-06-04T15:39:09,1.6612,ETH,1afb85b5fa98f415031858feeff851,0
2025-06-27T17:52:38,1.5863,SOL,aba5dbf0da869c736aab7a71f789a3,0
2025-05-25T08:08:13,0.3401,SOL,fb285ab0fb6ffcc9f6ac933bdc1683,0
2025-08-29T10:00:38,0.5697,BTC,efd9c0e9e2e15ca1ff088a2c7f5e62,0
2025-08-30T20:25:59,1.5017,ETH,bf5ad317d825d510bc672394b5bd95,0
2025-02-17T20:46:14,0.4589,BTC,2573cdd0115864a4e0611780a00812,0
2025-05-28T02:31:48,1.8367,ETH,e834681b8bf7ee8542bdcfd3bedb73,0
2025-06-19T04:01:14,1.6666,SOL,bc962bc3f32331fa1a1764dc1e46c6,0
2025-02-28T21:41:56,0.1001,ETH,0871beb4dc16f1cf1290d47de2486f,0
2025-06-07T14:58:37,0.1024,SOL,773718a0d8f37cbd7a04b7135c36f5,0
2025-05-15T20:19:28,1.0515,BTC,a539fb9f65f348a4efb91ab1bad678,0
